"c","zc","fc","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
-0.66819,0.0020354,-0.45672,7071,7071,1.6499,0.84988,0
-0.61564,0.0018757,-0.42084,7072,7072,1.6499,0.86239,0
-0.64178,0.0019384,-0.43728,7073,7073,1.6624,0.84987,0
-0.59132,0.0017863,-0.40293,7074,7074,1.6624,0.86238,0
-0.60859,0.0018901,-0.41902,7075,7075,1.625,0.87491,0
-0.54996,0.0017083,-0.37868,7076,7076,1.625,0.88742,0
-0.58584,0.001803,-0.40199,7077,7077,1.6375,0.8749,0
-0.52941,0.0016295,-0.36329,7078,7078,1.6375,0.88741,0
-0.65513,0.0020761,-0.45447,7079,7079,1.6,0.87491,0
-0.59201,0.0018764,-0.41071,7080,7080,1.6,0.88742,0
-0.63186,0.0019831,-0.43674,7081,7081,1.6125,0.87491,0
-0.57099,0.0017923,-0.3947,7082,7082,1.6125,0.88742,0
-0.72217,0.0022421,-0.49713,7083,7083,1.625,0.84989,0
-0.66538,0.0020661,-0.45807,7084,7084,1.625,0.8624,0
-0.69518,0.0021387,-0.47692,7085,7085,1.6375,0.84988,0
-0.64051,0.0019709,-0.43946,7086,7086,1.6375,0.86239,0
-0.77741,0.0024627,-0.53918,7087,7087,1.6,0.8499,0
-0.71627,0.0022694,-0.49683,7088,7088,1.6,0.8624,0
-0.74979,0.0023524,-0.51816,7089,7089,1.6125,0.84989,0
-0.69082,0.0021678,-0.47745,7090,7090,1.6125,0.8624,0
-0.70844,0.0021191,-0.48093,7091,7091,1.6749,0.82485,0
-0.66191,0.0019803,-0.44938,7092,7092,1.6749,0.83736,0
-0.67868,0.0020141,-0.45936,7093,7093,1.6874,0.82484,0
-0.63411,0.0018821,-0.42924,7094,7094,1.6874,0.83735,0
-0.76923,0.0023422,-0.52567,7095,7095,1.6499,0.82486,0
-0.71871,0.0021888,-0.4912,7096,7096,1.6499,0.83737,0
-0.73883,0.0022307,-0.5033,7097,7097,1.6624,0.82485,0
-0.69031,0.0020845,-0.47029,7098,7098,1.6624,0.83736,0
-0.7972,0.0023835,-0.54106,7099,7099,1.6749,0.79983,0
-0.75282,0.0022513,-0.51099,7100,7100,1.6749,0.81234,0
-0.76371,0.0022654,-0.5168,7101,7101,1.6874,0.79982,0
-0.72119,0.0021397,-0.48808,7102,7102,1.6874,0.81233,0
-0.86563,0.0026345,-0.5914,7103,7103,1.6499,0.79984,0
-0.81743,0.0024884,-0.55854,7104,7104,1.6499,0.81235,0
-0.83141,0.002509,-0.56623,7105,7105,1.6624,0.79983,0
-0.78512,0.0023698,-0.53476,7106,7106,1.6624,0.81234,0
-0.83139,0.00258,-0.57218,7107,7107,1.6249,0.82487,0
-0.77678,0.0024111,-0.53466,7108,7108,1.625,0.83738,0
-0.80031,0.0024611,-0.54893,7109,7109,1.6374,0.82486,0
-0.74775,0.0022999,-0.51293,7110,7110,1.6374,0.83737,0
-0.895,0.0028339,-0.62059,7111,7111,1.6,0.82488,0
-0.8362,0.0026483,-0.57989,7112,7112,1.6,0.83739,0
-0.8632,0.002707,-0.59639,7113,7113,1.6125,0.82487,0
-0.80649,0.0025297,-0.55727,7114,7114,1.6125,0.83738,0
-0.93559,0.0029019,-0.64373,7115,7115,1.6249,0.79985,0
-0.88349,0.002741,-0.60795,7116,7116,1.6249,0.81236,0
-0.90061,0.0027682,-0.61756,7117,7117,1.6374,0.79984,0
-0.85046,0.0026147,-0.58325,7118,7118,1.6374,0.81235,0
-1.0072,0.0031874,-0.69819,7119,7119,1.6,0.79986,0
-0.95109,0.0030107,-0.65939,7120,7120,1.6,0.81237,0
-0.97139,0.0030447,-0.67096,7121,7121,1.6124,0.79986,0
-0.91729,0.0028758,-0.63367,7122,7122,1.6125,0.81236,0
0,0,0,7123,7123,1.575,1,0
-0.14399,0.00046654,-0.10073,7124,7124,1.575,0.97498,0
0,0,0,7125,7125,1.5875,1,0
-0.071995,0.00023327,-0.050365,7126,7126,1.575,0.98749,0
-0.13911,0.00044614,-0.096945,7127,7127,1.5875,0.97498,0
-0.069556,0.00022307,-0.048473,7128,7128,1.5875,0.98749,0
0,0,0,7129,7129,1.55,1,0
-0.15398,0.00051023,-0.10862,7130,7130,1.55,0.97499,0
0,0,0,7131,7131,1.5625,1,0
-0.076991,0.00025511,-0.054312,7132,7132,1.55,0.98749,0
-0.14899,0.00048838,-0.10468,7133,7133,1.5625,0.97499,0
-0.074493,0.00024419,-0.052339,7134,7134,1.5625,0.98749,0
-0.28712,0.00093018,-0.20084,7135,7135,1.575,0.94997,0
-0.21555,0.00069836,-0.15079,7136,7136,1.575,0.96248,0
-0.27739,0.00088952,-0.1933,7137,7137,1.5875,0.94997,0
-0.20825,0.00066783,-0.14512,7138,7138,1.5875,0.96248,0
-0.30704,0.0010173,-0.21659,7139,7139,1.55,0.94997,0
-0.23051,0.00076376,-0.1626,7140,7140,1.55,0.96248,0
-0.29708,0.00097374,-0.20872,7141,7141,1.5625,0.94997,0
-0.22303,0.00073106,-0.1567,7142,7142,1.5625,0.96248,0
0,0,0,7143,7143,1.525,1,0
-0.16422,0.00055709,-0.11686,7144,7144,1.525,0.97499,0
0,0,0,7145,7145,1.5375,1,0
-0.082108,0.00027855,-0.058432,7146,7146,1.525,0.98749,0
-0.1591,0.00053366,-0.11274,7147,7147,1.5375,0.97499,0
-0.079549,0.00026683,-0.056372,7148,7148,1.5375,0.98749,0
0,0,0,7149,7149,1.5,1,0
-0.1747,0.00060742,-0.12547,7150,7150,1.5,0.97499,0
0,0,0,7151,7151,1.5125,1,0
-0.087351,0.00030371,-0.062735,7152,7152,1.5,0.9875,0
-0.16946,0.00058226,-0.12117,7153,7153,1.5125,0.97499,0
-0.084729,0.00029113,-0.060584,7154,7154,1.5125,0.9875,0
-0.32745,0.0011107,-0.23301,7155,7155,1.525,0.94998,0
-0.24583,0.00083391,-0.17494,7156,7156,1.525,0.96248,0
-0.31724,0.001064,-0.2248,7157,7157,1.5375,0.94998,0
-0.23817,0.00079884,-0.16877,7158,7158,1.5375,0.96248,0
-0.34836,0.0012111,-0.25017,7159,7159,1.5,0.94998,0
-0.26153,0.00090925,-0.18782,7160,7160,1.5,0.96249,0
-0.3379,0.0011609,-0.24159,7161,7161,1.5125,0.94998,0
-0.25368,0.00087158,-0.18138,7162,7162,1.5125,0.96249,0
-0.42852,0.001388,-0.29973,7163,7163,1.575,0.92495,0
-0.35782,0.0011591,-0.25029,7164,7164,1.575,0.93746,0
-0.414,0.0013274,-0.28847,7165,7165,1.5875,0.92495,0
-0.3457,0.0011084,-0.24088,7166,7166,1.5875,0.93746,0
-0.45826,0.001518,-0.32322,7167,7167,1.55,0.92496,0
-0.38265,0.0012677,-0.2699,7168,7168,1.55,0.93747,0
-0.44339,0.001453,-0.31148,7169,7169,1.5625,0.92496,0
-0.37023,0.0012134,-0.2601,7170,7170,1.5625,0.93746,0
-0.56735,0.0018373,-0.39678,7171,7171,1.575,0.89994,0
-0.49794,0.0016127,-0.34826,7172,7172,1.575,0.91245,0
-0.54812,0.0017569,-0.38187,7173,7173,1.5875,0.89993,0
-0.48106,0.0015422,-0.33517,7174,7174,1.5875,0.91244,0
-0.60673,0.0020093,-0.42788,7175,7175,1.55,0.89995,0
-0.53249,0.0017637,-0.37555,7176,7176,1.55,0.91245,0
-0.58704,0.0019233,-0.41233,7177,7177,1.5625,0.89994,0
-0.51521,0.0016882,-0.3619,7178,7178,1.5625,0.91245,0
-0.48872,0.0016575,-0.34774,7179,7179,1.525,0.92497,0
-0.40809,0.0013841,-0.29038,7180,7180,1.525,0.93747,0
-0.47349,0.0015878,-0.33548,7181,7181,1.5375,0.92496,0
-0.39537,0.0013259,-0.28014,7182,7182,1.5375,0.93747,0
-0.51994,0.0018072,-0.37335,7183,7183,1.5,0.92497,0
-0.43415,0.0015091,-0.31176,7184,7184,1.5,0.93748,0
-0.50433,0.0017323,-0.36054,7185,7185,1.5125,0.92497,0
-0.42112,0.0014466,-0.30107,7186,7186,1.5125,0.93748,0
-0.64707,0.0021939,-0.46034,7187,7187,1.525,0.89996,0
-0.5679,0.0019257,-0.40404,7188,7188,1.525,0.91246,0
-0.6269,0.0021016,-0.44411,7189,7189,1.5375,0.89995,0
-0.55019,0.0018447,-0.38979,7190,7190,1.5375,0.91246,0
-0.68841,0.0023921,-0.49424,7191,7191,1.5,0.89997,0
-0.60417,0.0020997,-0.4338,7192,7192,1.5,0.91247,0
-0.66774,0.002293,-0.47729,7193,7193,1.5125,0.89996,0
-0.58603,0.0020127,-0.41892,7194,7194,1.5125,0.91247,0
0,0,0,7195,7195,1.475,1,0
-0.18545,0.00066152,-0.13446,7196,7196,1.475,0.97499,0
0,0,0,7197,7197,1.4875,1,0
-0.092723,0.00033076,-0.067231,7198,7198,1.475,0.9875,0
-0.18007,0.00063447,-0.12997,7199,7199,1.4875,0.97499,0
-0.090037,0.00031723,-0.064983,7200,7200,1.4875,0.9875,0
0,0,0,7201,7201,1.45,1,0
-0.19645,0.00071971,-0.14386,7202,7202,1.45,0.975,0
0,0,0,7203,7203,1.4625,1,0
-0.098227,0.00035986,-0.071931,7204,7204,1.45,0.9875,0
-0.19095,0.00069061,-0.13916,7205,7205,1.4625,0.97499,0
-0.095475,0.00034531,-0.069581,7206,7206,1.4625,0.9875,0
-0.36979,0.0013189,-0.2681,7207,7207,1.475,0.94999,0
-0.27762,0.00099022,-0.20128,7208,7208,1.475,0.96249,0
-0.35907,0.001265,-0.25914,7209,7209,1.4875,0.94998,0
-0.26957,0.00094974,-0.19455,7210,7210,1.4875,0.96249,0
-0.39174,0.001435,-0.28684,7211,7211,1.45,0.94999,0
-0.2941,0.0010773,-0.21535,7212,7212,1.45,0.96249,0
-0.38076,0.001377,-0.27747,7213,7213,1.4625,0.94999,0
-0.28586,0.0010338,-0.20832,7214,7214,1.4625,0.96249,0
0,0,0,7215,7215,1.425,1,0
-0.20773,0.00078236,-0.15369,7216,7216,1.425,0.975,0
0,0,0,7217,7217,1.4375,1,0
-0.10387,0.00039118,-0.076844,7218,7218,1.425,0.9875,0
-0.20209,0.00075103,-0.14877,7219,7219,1.4375,0.975,0
-0.10105,0.00037552,-0.074387,7220,7220,1.4375,0.9875,0
0,0,0,7221,7221,1.4,1,0
-0.21928,0.00084983,-0.16396,7222,7222,1.4,0.975,0
0,0,0,7223,7223,1.4125,1,0
-0.10964,0.00042492,-0.08198,7224,7224,1.4,0.9875,0
-0.2135,0.00081609,-0.15882,7225,7225,1.4125,0.975,0
-0.10675,0.00040805,-0.079412,7226,7226,1.4125,0.9875,0
-0.41423,0.0015599,-0.30644,7227,7227,1.425,0.95,0
-0.31098,0.0011711,-0.23006,7228,7228,1.425,0.9625,0
-0.40298,0.0014974,-0.29664,7229,7229,1.4375,0.94999,0
-0.30254,0.0011242,-0.22271,7230,7230,1.4375,0.9625,0
-0.43726,0.0016944,-0.32692,7231,7231,1.4,0.95,0
-0.32827,0.0012721,-0.24544,7232,7232,1.4,0.9625,0
-0.42574,0.0016272,-0.31668,7233,7233,1.4125,0.95,0
-0.31962,0.0012216,-0.23775,7234,7234,1.4125,0.9625,0
-0.55192,0.0019682,-0.40011,7235,7235,1.475,0.92498,0
-0.46085,0.0016436,-0.33411,7236,7236,1.475,0.93748,0
-0.53593,0.0018877,-0.38673,7237,7237,1.4875,0.92498,0
-0.4475,0.0015763,-0.32293,7238,7238,1.4875,0.93748,0
-0.5847,0.0021413,-0.42808,7239,7239,1.45,0.92499,0
-0.48822,0.0017882,-0.35746,7240,7240,1.45,0.93749,0
-0.56831,0.0020548,-0.41409,7241,7241,1.4625,0.92498,0
-0.47454,0.0017159,-0.34578,7242,7242,1.4625,0.93749,0
-0.73077,0.0026052,-0.52967,7243,7243,1.475,0.89997,0
-0.64134,0.0022867,-0.46489,7244,7244,1.475,0.91248,0
-0.70959,0.0024987,-0.51195,7245,7245,1.4875,0.89997,0
-0.62276,0.0021932,-0.44934,7246,7246,1.4875,0.91247,0
-0.77417,0.0028344,-0.5667,7247,7247,1.45,0.89998,0
-0.67943,0.0024879,-0.49739,7248,7248,1.45,0.91249,0
-0.75247,0.0027198,-0.54818,7249,7249,1.4625,0.89998,0
-0.66039,0.0023873,-0.48114,7250,7250,1.4625,0.91248,0
-0.61827,0.0023278,-0.45732,7251,7251,1.425,0.92499,0
-0.51625,0.0019438,-0.38188,7252,7252,1.425,0.93749,0
-0.60148,0.0022345,-0.4427,7253,7253,1.4375,0.92499,0
-0.50223,0.001866,-0.36967,7254,7254,1.4375,0.93749,0
-0.65265,0.0025286,-0.48789,7255,7255,1.4,0.925,0
-0.54495,0.0021115,-0.4074,7256,7256,1.4,0.9375,0
-0.63546,0.0024282,-0.4726,7257,7257,1.4125,0.925,0
-0.5306,0.0020277,-0.39464,7258,7258,1.4125,0.9375,0
-0.81864,0.0030812,-0.60541,7259,7259,1.425,0.89999,0
-0.71845,0.0027045,-0.53137,7260,7260,1.425,0.91249,0
-0.7964,0.0029578,-0.58606,7261,7261,1.4375,0.89999,0
-0.69894,0.0025962,-0.51438,7262,7262,1.4375,0.91249,0
-0.86417,0.0033471,-0.64589,7263,7263,1.4,0.9,0
-0.75841,0.0029378,-0.56689,7264,7264,1.4,0.9125,0
-0.84141,0.0032142,-0.62565,7265,7265,1.4125,0.9,0
-0.73843,0.0028212,-0.54913,7266,7266,1.4125,0.9125,0
-0.70276,0.002275,-0.4914,7267,7267,1.575,0.87492,0
-0.63506,0.0020562,-0.44409,7268,7268,1.575,0.88743,0
-0.67895,0.0021756,-0.47293,7269,7269,1.5875,0.87492,0
-0.61354,0.0019663,-0.4274,7270,7270,1.5875,0.88743,0
-0.75155,0.0024881,-0.52991,7271,7271,1.55,0.87494,0
-0.67914,0.0022487,-0.4789,7272,7272,1.55,0.88744,0
-0.72716,0.0023816,-0.51066,7273,7273,1.5625,0.87493,0
-0.6571,0.0021524,-0.46149,7274,7274,1.5625,0.88744,0
-0.83395,0.0026986,-0.583,7275,7275,1.575,0.84991,0
-0.76836,0.0024868,-0.5372,7276,7276,1.575,0.86242,0
-0.80568,0.0025807,-0.56109,7277,7277,1.5875,0.8499,0
-0.74231,0.0023781,-0.51701,7278,7278,1.5875,0.86241,0
-0.89186,0.0029514,-0.6287,7279,7279,1.55,0.84992,0
-0.82171,0.0027198,-0.57931,7280,7280,1.55,0.86243,0
-0.86291,0.002825,-0.60585,7281,7281,1.5625,0.84992,0
-0.79503,0.0026033,-0.55825,7282,7282,1.5625,0.86242,0
-0.80154,0.0027167,-0.57012,7283,7283,1.525,0.87495,0
-0.7243,0.0024553,-0.51523,7284,7284,1.525,0.88745,0
-0.77655,0.0026024,-0.55002,7285,7285,1.5375,0.87494,0
-0.70172,0.002352,-0.49706,7286,7286,1.5375,0.88745,0
-0.85276,0.0029621,-0.61211,7287,7287,1.5,0.87496,0
-0.77058,0.0026771,-0.55318,7288,7288,1.5,0.88746,0
-0.82715,0.0028394,-0.59111,7289,7289,1.5125,0.87495,0
-0.74744,0.0025662,-0.5342,7290,7290,1.5125,0.88746,0
-0.9512,0.0032225,-0.67641,7291,7291,1.525,0.84994,0
-0.87637,0.0029696,-0.62326,7292,7292,1.525,0.86244,0
-0.92153,0.003087,-0.65255,7293,7293,1.5375,0.84993,0
-0.84904,0.0028447,-0.60128,7294,7294,1.5375,0.86243,0
-1.012,0.0035137,-0.72623,7295,7295,1.5,0.84995,0
