497541  539375  8.23 5
499883  539296  5.57 5.35323
500174  538580  36.73 5.11482
498442  538969  0 5.00087
499564  538996  13.15 5.30554
497855  539040  4.57 5
497855  539040  39.62 5
500972  537651  26.73 5.00001
500581  539286  69.01 5.5939
500553  539290  11.15 5.45817
501063  538806  4.86 5.34201
499174  539123  3.66 5.09919
499030  539379  3.32 5.03022
499030  539379  23.2 5.12828
499891  538615  4.94 5.09632
499891  538615  32.46 5.11957
499948  538892  3.59 5.31539
499948  538892  32.51 5.39734
499465  538608  3.05 5.04756
499465  538608  32.92 5.07738
498987  538710  7.62 5.02023
498987  538710  36.58 5.09516
498574  539305  4.57 5.00042
