497541  539375  8.23 5
499883  539296  5.57 5.34883
500174  538580  36.73 5.1144
498442  538969  0 5.00184
499564  538996  13.15 5.29381
497855  539040  4.57 5
497855  539040  39.62 5
500972  537651  26.73 5.00001
500581  539286  69.01 5.59807
500553  539290  11.15 5.44573
501063  538806  4.86 5.33703
499174  539123  3.66 5.14602
499030  539379  3.32 5.08163
499030  539379  23.2 5.14576
499891  538615  4.94 5.0948
499891  538615  32.46 5.11958
499948  538892  3.59 5.31472
499948  538892  32.51 5.39835
499465  538608  3.05 5.05066
499465  538608  32.92 5.07872
498987  538710  7.62 5.03412
498987  538710  36.58 5.10172
498574  539305  4.57 5.00716
