0.111111  0.111111  0.00939236
0.111111  0.222222  0.0145493
0.111111  0.333333  0.0158348
0.111111  0.444444  0.0141333
0.111111  0.555556  0.0108573
0.111111  0.666667  0.00736313
0.111111  0.777778  0.00438049
0.111111  0.888889  0.00201372
0.222222  0.111111  0.0145493
0.222222  0.222222  0.0229417
0.222222  0.333333  0.0253171
0.222222  0.444444  0.0229521
0.222222  0.555556  0.0179666
0.222222  0.666667  0.0124383
0.222222  0.777778  0.0075424
0.222222  0.888889  0.00351255
0.333333  0.111111  0.0158348
0.333333  0.222222  0.0253171
0.333333  0.333333  0.028311
0.333333  0.444444  0.0260647
0.333333  0.555556  0.0207832
0.333333  0.666667  0.0146826
0.333333  0.777778  0.00907341
0.333333  0.888889  0.00428149
0.444444  0.111111  0.0141333
0.444444  0.222222  0.0229521
0.444444  0.333333  0.0260646
0.444444  0.444444  0.0244296
0.444444  0.555556  0.019893
0.444444  0.666667  0.0143732
0.444444  0.777778  0.00906647
0.444444  0.888889  0.00433879
0.555556  0.111111  0.0108572
0.555556  0.222222  0.0179666
0.555556  0.333333  0.0207832
0.555556  0.444444  0.019893
0.555556  0.555556  0.0165906
0.555556  0.666667  0.0122865
0.555556  0.777778  0.00792077
0.555556  0.888889  0.00384603
0.666667  0.111111  0.0073631
0.666667  0.222222  0.0124382
0.666667  0.333333  0.0146825
0.666667  0.444444  0.0143731
0.666667  0.555556  0.0122864
0.666667  0.666667  0.00932446
0.666667  0.777778  0.00613804
0.666667  0.888889  0.00302124
0.777778  0.111111  0.00438045
0.777778  0.222222  0.00754234
0.777778  0.333333  0.00907335
0.777778  0.444444  0.00906643
0.777778  0.555556  0.00792075
0.777778  0.666667  0.00613803
0.777778  0.777778  0.00411093
0.777778  0.888889  0.00204595
0.888889  0.111111  0.00201369
0.888889  0.222222  0.00351251
0.888889  0.333333  0.00428146
0.888889  0.444444  0.00433877
0.888889  0.555556  0.00384602
0.888889  0.666667  0.00302124
0.888889  0.777778  0.00204596
0.888889  0.888889  0.00102539
