497541  539375  8.23 0.243526
499883  539296  5.57 0.0626054
500174  538580  36.73 0.0407679
498442  538969  0 0.324758
499564  538996  13.15 0.0878975
497855  539040  4.57 0.126627
497855  539040  39.62 0.126754
500972  537651  26.73 0.0185962
500581  539286  69.01 0.0374904
500553  539290  11.15 0.0380339
501063  538806  4.86 0.02804
499174  539123  3.66 0.152847
499030  539379  3.32 0.194067
499030  539379  23.2 0.205436
499891  538615  4.94 0.0512059
499891  538615  32.46 0.0513771
499948  538892  3.59 0.0579267
499948  538892  32.51 0.0581238
499465  538608  3.05 0.0741048
499465  538608  32.92 0.0751975
498987  538710  7.62 0.173185
498987  538710  36.58 0.197389
498574  539305  4.57 0.369672
