497541  539375  8.23 0.000100915
499883  539296  5.57 0.0624525
500174  538580  36.73 0.0383266
498442  538969  0 0.31435
499564  538996  13.15 0.0878079
497855  539040  4.57 0.00321541
497855  539040  39.62 0.00351837
500972  537651  26.73 0.00321774
500581  539286  69.01 0.0372681
500553  539290  11.15 0.0378096
501063  538806  4.86 0.027411
499174  539123  3.66 0.15279
499030  539379  3.32 0.193797
499030  539379  23.2 0.205201
499891  538615  4.94 0.0489523
499891  538615  32.46 0.0491351
499948  538892  3.59 0.0576309
499948  538892  32.51 0.0578306
499465  538608  3.05 0.0710783
499465  538608  32.92 0.0722296
498987  538710  7.62 0.171268
498987  538710  36.58 0.195785
498574  539305  4.57 0.366116
