497541  539375  8.23 0
499883  539296  5.57 0.0632624
500174  538580  36.73 0.0457781
498442  538969  0 0.887983
499564  538996  13.15 0.0885035
497855  539040  4.57 0
497855  539040  39.62 0
500972  537651  26.73 0
500581  539286  69.01 0.0398498
500553  539290  11.15 0.0400257
501063  538806  4.86 0
499174  539123  3.66 0.155018
499030  539379  3.32 0.198209
499030  539379  23.2 0.208099
499891  538615  4.94 0.057014
499891  538615  32.46 0.0571358
499948  538892  3.59 0.058937
499948  538892  32.51 0.0591053
499465  538608  3.05 0.0851762
499465  538608  32.92 0.0859598
498987  538710  7.62 0.192112
498987  538710  36.58 0.212916
498574  539305  4.57 0.510134
