0 0 1 0
0.0198 0 1 0.01
0.0392 0 1 0.02
0.0582 0 1 0.03
0.0768 0 1 0.04
0.095 0 1 0.05
0.1128 0 1 0.06
0.1302 0 1 0.07
0.1472 0 1 0.08
0.1638 0 1 0.09
0.18 0 1 0.1
0.1958 0 1 0.11
0.2112 0 1 0.12
0.2262 0 1 0.13
0.2408 0 1 0.14
0.255 0 1 0.15
0.2688 0 1 0.16
0.2822 0 1 0.17
0.2952 0 1 0.18
0.3078 0 1 0.19
0.32 0 1 0.2
0.3318 0 1 0.21
0.3432 0 1 0.22
0.3542 0 1 0.23
0.3648 0 1 0.24
0.375 0 1 0.25
0.3848 0 1 0.26
0.3942 0 1 0.27
0.4032 0 1 0.28
0.4118 0 1 0.29
0.42 0 1 0.3
0.4278 0 1 0.31
0.4352 0 1 0.32
0.4422 0 1 0.33
0.4488 0 1 0.34
0.455 0 1 0.35
0.4608 0 1 0.36
0.4662 0 1 0.37
0.4712 0 1 0.38
0.4758 0 1 0.39
0.48 0 1 0.4
0.4838 0 1 0.41
0.4872 0 1 0.42
0.4902 0 1 0.43
0.4928 0 1 0.44
0.495 0 1 0.45
0.4968 0 1 0.46
0.4982 0 1 0.47
0.4992 0 1 0.48
0.4998 0 1 0.49
0.5 0 1 0.5
0.4998 0 1 0.51
0.4992 0 1 0.52
0.4982 0 1 0.53
0.4968 0 1 0.54
0.495 0 1 0.55
0.4928 0 1 0.56
0.4902 0 1 0.57
0.4872 0 1 0.58
0.4838 0 1 0.59
0.48 0 1 0.6
0.4758 0 1 0.61
0.4712 0 1 0.62
0.4662 0 1 0.63
0.4608 0 1 0.64
0.455 0 1 0.65
0.4488 0 1 0.66
0.4422 0 1 0.67
0.4352 0 1 0.68
0.4278 0 1 0.69
0.42 0 1 0.7
0.4118 0 1 0.71
0.4032 0 1 0.72
0.3942 0 1 0.73
0.3848 0 1 0.74
0.375 0 1 0.75
0.3648 0 1 0.76
0.3542 0 1 0.77
0.3432 0 1 0.78
0.3318 0 1 0.79
0.32 0 1 0.8
0.3078 0 1 0.81
0.2952 0 1 0.82
0.2822 0 1 0.83
0.2688 0 1 0.84
0.255 0 1 0.85
0.2408 0 1 0.86
0.2262 0 1 0.87
0.2112 0 1 0.88
0.1958 0 1 0.89
0.18 0 1 0.9
0.1638 0 1 0.91
0.1472 0 1 0.92
0.1302 0 1 0.93
0.1128 0 1 0.94
0.095 0 1 0.95
0.0768 0 1 0.96
0.0582 0 1 0.97
0.0392 0 1 0.98
0.0198 0 1 0.99
0 0 1 1
